date,woman,man,docid
1600-05-12,False,True,2301800184531932705
1600-05-07,True,True,2301800184531932705
1600-05-13,False,True,2301800184531932705
1600-05-07,True,True,2301800184531932705
1600-05-13,False,True,2301800184531932705
1600-05-13,False,True,2301800184531932705
1600-05-08,False,True,2301800184531932705
1600-05-07,False,False,2301800184531932705
1600-05-13,False,True,2301800184531932705
1600-05-11,True,True,2301800184531932705
1600-05-13,False,True,2301800184531932705
1600-05-13,True,True,2301800184531932705
1600-05-12,True,True,2301800184531932705
1600-01-01,False,True,-522123052837464683
1600-02-25,False,True,2166575262242377276
1600-02-25,False,False,2166575262242377276
1600-04-28,False,False,2105087720951922741
1600-04-28,False,False,2105087720951922741
1600-04-21,False,False,2105087720951922741
1600-05-05,False,True,2004003283027098431
1600-05-19,False,True,2004003283027098431
1600-07-17,False,True,-1216958161301332675
1600-07-02,False,True,-1216958161301332675
1600-07-02,False,True,-1216958161301332675
1600-09-01,False,True,-1566843966117959496
1600-09-01,False,False,-1566843966117959496
1600-08-26,False,True,-1566843966117959496
1602-02-22,True,True,-1601186970321762510
1601-03-03,False,False,-1465463828948700400
1574-05-27,True,True,1554073848861930408
1574-05-29,False,False,1554073848861930408
1574-06-08,False,True,1494739652575128718
1574-06-06,True,True,1494739652575128718
1574-06-23,False,True,-1080431158135577290
1574-06-26,True,True,-1080431158135577290
1574-06-30,False,True,-1080431158135577290
1574-06-04,False,True,-1080431158135577290
1574-05-30,True,True,-1080431158135577290
1574-06-05,False,True,-1080431158135577290
1574-06-05,False,True,-1080431158135577290
1574-07-11,True,True,-17206886801598636
1574-07-05,False,True,-17206886801598636
1574-07-05,False,True,-17206886801598636
1574-07-10,False,True,-17206886801598636
1574-08-22,True,True,-289760161715223290
1574-08-28,False,True,-289760161715223290
1574-08-28,False,True,-289760161715223290
1574-08-28,False,True,-289760161715223290
1574-08-11,False,True,2105251592763319031
1574-08-13,False,True,2105251592763319031
1574-08-13,False,False,2105251592763319031
1574-09-10,False,True,-1161607428139304074
1574-09-08,False,True,-1161607428139304074
1574-08-19,False,True,-1161607428139304074
1574-11-24,False,False,2117589092431897942
1574-11-24,False,False,2117589092431897942
1574-11-13,False,True,2117589092431897942
1574-11-24,False,True,2117589092431897942
1574-10-31,False,True,2117589092431897942
1574-12-26,True,True,716917775307905856
1574-12-28,False,True,716917775307905856
1574-12-29,False,False,716917775307905856
1574-12-29,False,True,716917775307905856
1574-12-29,True,True,716917775307905856
1575-01-20,True,True,622714734804309918
1575-01-26,True,True,622714734804309918
1600-01-26,False,True,622714734804309918
